,Image File,Word File,WER,CER,Word Accuracy,Character Accuracy,Levenshtein Distance,Precision,Recall,F1 Score,Inference Time (s)
0,1 (1).jpg,1 (1).txt,0.9714285714285714,0.8828633405639913,0.02857142857142858,0.1171366594360087,407,0.8085106382978723,0.5205479452054794,0.6333333333333333,3.658339500427246
1,1 (10).jpg,1 (10).txt,0.7176470588235294,0.5284605433376456,0.2823529411764706,0.4715394566623544,817,0.7191011235955056,0.8888888888888888,0.7950310559006211,4.609882593154907
2,1 (11).jpg,1 (11).txt,0.6666666666666666,0.40387858347386174,0.33333333333333337,0.5961214165261383,479,0.5747126436781609,1.0,0.7299270072992701,7.6801862716674805
3,1 (12).jpg,1 (12).txt,1.0,1.0,0.0,0.0,166,0.0,0.0,0.0,2.6948578357696533
4,1 (13).jpg,1 (13).txt,1.0,1.0,0.0,0.0,166,0.0,0.0,0.0,2.4857850074768066
5,1 (14).jpg,1 (14).txt,1.0,1.0,0.0,0.0,166,0.0,0.0,0.0,2.5889017581939697
6,1 (15).jpg,1 (15).txt,1.0,1.0,0.0,0.0,155,0.0,0.0,0.0,2.274505853652954
7,1 (16).jpg,1 (16).txt,1.0,0.9819819819819819,0.0,0.018018018018018056,218,0.2857142857142857,0.037037037037037035,0.06557377049180328,2.0737781524658203
8,1 (17).jpg,1 (17).txt,1.3333333333333333,0.6703296703296703,-0.33333333333333326,0.3296703296703297,122,0.782608695652174,0.8571428571428571,0.8181818181818182,2.7350053787231445
9,1 (2).jpg,1 (2).txt,1.0,1.0,0.0,0.0,457,0.0,0.0,0.0,2.152130126953125
10,1 (21).jpg,1 (21).txt,1.0,1.0,0.0,0.0,580,0.0,0.0,0.0,2.466848373413086
11,1 (22).jpg,1 (22).txt,0.8210659898477157,0.5843600704048277,0.17893401015228427,0.41563992959517226,2324,0.6551724137931034,0.8507462686567164,0.7402597402597402,13.894956827163696
12,1 (23).jpg,1 (23).txt,1.0,1.0,0.0,0.0,150,0.0,0.0,0.0,3.646059513092041
13,1 (3).jpg,1 (3).txt,3.0,1.2083333333333333,-2.0,-0.20833333333333326,29,0.16666666666666666,0.25,0.2,2.276336908340454
14,1 (4).jpg,1 (4).txt,1.0,1.0,0.0,0.0,402,0.0,0.0,0.0,2.3188488483428955
15,1 (5).jpg,1 (5).txt,0.9459459459459459,0.7829787234042553,0.05405405405405406,0.21702127659574466,184,0.85,0.5666666666666667,0.68,3.79482102394104
16,1 (6).jpg,1 (6).txt,1.0,0.9742857142857143,0.0,0.02571428571428569,341,0.6363636363636364,0.1111111111111111,0.1891891891891892,3.0254669189453125
17,1 (7).jpg,1 (7).txt,0.9358974358974359,0.7984496124031008,0.0641025641025641,0.20155038759689925,412,0.71875,0.6216216216216216,0.6666666666666667,6.479040622711182
18,1 (8).jpg,1 (8).txt,1.0,1.0,0.0,0.0,71,0.0,0.0,0.0,2.161059617996216
19,1 (9).jpg,1 (9).txt,1.0,0.975551580202743,0.0,0.02444841979725698,1636,0.7407407407407407,0.24390243902439024,0.36697247706422015,3.082927942276001
