,Image File,Word File,WER,CER,Word Accuracy,Character Accuracy,Levenshtein Distance,Precision,Recall,F1 Score,Inference Time (s)
0,1 (1).jpg,1 (1).txt,0.9421487603305785,0.9124183006535947,0.05785123966942152,0.08758169934640525,698,0.8205128205128205,0.34782608695652173,0.48854961832061067,6.406622886657715
1,1 (10).jpg,1 (10).txt,0.791970802919708,0.6190191387559809,0.208029197080292,0.3809808612440191,1035,0.6808510638297872,0.810126582278481,0.7398843930635838,7.149009466171265
2,1 (11).jpg,1 (11).txt,0.6338028169014085,0.3746006389776358,0.3661971830985915,0.6253993610223643,469,0.7051282051282052,0.8870967741935484,0.7857142857142857,7.726832151412964
3,1 (12).jpg,1 (12).txt,1.0,1.0,0.0,0.0,166,0.0,0.0,0.0,4.843634366989136
4,1 (13).jpg,1 (13).txt,1.0,1.0,0.0,0.0,170,0.0,0.0,0.0,4.746577501296997
5,1 (14).jpg,1 (14).txt,1.0,1.0,0.0,0.0,170,0.0,0.0,0.0,4.914894104003906
6,1 (15).jpg,1 (15).txt,0.9523809523809523,0.8076923076923077,0.04761904761904767,0.1923076923076923,147,0.6956521739130435,0.38095238095238093,0.4923076923076923,5.026131868362427
7,1 (16).jpg,1 (16).txt,1.0,1.0,0.0,0.0,276,0.0,0.0,0.0,4.255059480667114
8,1 (17).jpg,1 (17).txt,1.0,1.0,0.0,0.0,182,0.0,0.0,0.0,5.266145944595337
9,1 (2).jpg,1 (2).txt,1.0,1.0,0.0,0.0,457,0.0,0.0,0.0,4.17095422744751
10,1 (21).jpg,1 (21).txt,1.0,1.0,0.0,0.0,580,0.0,0.0,0.0,4.981252431869507
11,1 (22).jpg,1 (22).txt,0.7087719298245614,0.5043778801843318,0.2912280701754386,0.49562211981566817,2189,0.5377358490566038,0.8507462686567164,0.6589595375722543,15.207437753677368
12,1 (23).jpg,1 (23).txt,1.0,1.0,0.0,0.0,150,0.0,0.0,0.0,5.9497458934783936
13,1 (3).jpg,1 (3).txt,1.0,1.0,0.0,0.0,24,0.0,0.0,0.0,4.266596555709839
14,1 (4).jpg,1 (4).txt,1.0,0.9950248756218906,0.0,0.00497512437810943,400,1.0,0.02197802197802198,0.043010752688172046,4.46055793762207
15,1 (5).jpg,1 (5).txt,0.9736842105263158,0.9382716049382716,0.02631578947368418,0.06172839506172845,228,0.7272727272727273,0.13333333333333333,0.22535211267605634,4.632608652114868
16,1 (6).jpg,1 (6).txt,1.0,0.837471783295711,0.0,0.16252821670428896,371,0.5714285714285714,0.49230769230769234,0.5289256198347108,6.031803369522095
17,1 (7).jpg,1 (7).txt,0.9479166666666666,0.8837579617834395,0.05208333333333337,0.11624203821656054,555,0.8333333333333334,0.4605263157894737,0.5932203389830509,6.151504755020142
18,1 (8).jpg,1 (8).txt,1.0,1.0,0.0,0.0,72,0.0,0.0,0.0,4.182617425918579
19,1 (9).jpg,1 (9).txt,0.9239130434782609,0.8459250446162998,0.07608695652173914,0.1540749553837002,1422,0.7941176470588235,0.6585365853658537,0.72,5.8556578159332275
