,Image File,Word File,WER,CER,Word Accuracy,Character Accuracy,Levenshtein Distance,Precision,Recall,F1 Score,Inference Time (s)
0,1 (1).jpg,1 (1).txt,0.9173553719008265,0.6954248366013072,0.0826446280991735,0.30457516339869284,532,0.7674418604651163,0.717391304347826,0.7415730337078652,4.21216607093811
1,1 (10).jpg,1 (10).txt,0.6131386861313869,0.3923444976076555,0.3868613138686131,0.6076555023923444,656,0.8089887640449438,0.9113924050632911,0.8571428571428571,5.737452030181885
2,1 (11).jpg,1 (11).txt,1.028169014084507,0.84185303514377,-0.028169014084507005,0.15814696485623003,1054,0.1875,0.2903225806451613,0.2278481012658228,7.908781051635742
3,1 (12).jpg,1 (12).txt,1.0,0.8975903614457831,0.0,0.10240963855421692,149,0.43478260869565216,0.19230769230769232,0.26666666666666666,1.8932440280914307
4,1 (13).jpg,1 (13).txt,0.9393939393939394,0.8117647058823529,0.06060606060606055,0.18823529411764706,138,0.52,0.48148148148148145,0.5,2.522624969482422
5,1 (14).jpg,1 (14).txt,1.0,0.8588235294117647,0.0,0.14117647058823535,146,0.5384615384615384,0.5185185185185185,0.5283018867924528,2.646291732788086
6,1 (15).jpg,1 (15).txt,1.0,0.989010989010989,0.0,0.01098901098901095,180,0.5,0.023809523809523808,0.04545454545454545,1.6004948616027832
7,1 (16).jpg,1 (16).txt,0.9696969696969697,0.9166666666666666,0.030303030303030276,0.08333333333333337,253,0.36,0.13043478260869565,0.19148936170212763,2.220360279083252
8,1 (17).jpg,1 (17).txt,1.1428571428571428,0.8681318681318682,-0.1428571428571428,0.13186813186813184,158,0.2857142857142857,0.14285714285714285,0.19047619047619047,2.3581526279449463
9,1 (2).jpg,1 (2).txt,0.9726027397260274,0.6105032822757112,0.0273972602739726,0.38949671772428884,279,0.5974025974025974,0.5822784810126582,0.5897435897435898,3.717815399169922
10,1 (21).jpg,1 (21).txt,0.971830985915493,0.8775862068965518,0.028169014084507005,0.12241379310344824,509,0.6666666666666666,0.19130434782608696,0.2972972972972973,3.779740333557129
11,1 (22).jpg,1 (22).txt,0.9742690058479532,0.7202764976958526,0.025730994152046827,0.27972350230414744,3126,0.6274509803921569,0.9552238805970149,0.757396449704142,21.266091346740723
12,1 (23).jpg,1 (23).txt,0.8695652173913043,0.8133333333333334,0.13043478260869568,0.18666666666666665,122,0.37777777777777777,0.265625,0.3119266055045872,2.1253209114074707
13,1 (3).jpg,1 (3).txt,0.5,0.16666666666666666,0.5,0.8333333333333334,4,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.5337278842926025
14,1 (4).jpg,1 (4).txt,0.9666666666666667,0.9079601990049752,0.033333333333333326,0.09203980099502485,365,0.34615384615384615,0.0989010989010989,0.15384615384615385,3.125690460205078
15,1 (5).jpg,1 (5).txt,0.9473684210526315,0.720164609053498,0.052631578947368474,0.279835390946502,175,0.4225352112676056,0.5,0.4580152671755725,2.4851338863372803
16,1 (6).jpg,1 (6).txt,0.9193548387096774,0.7742663656884876,0.08064516129032262,0.2257336343115124,343,0.5,0.2923076923076923,0.36893203883495146,3.1228246688842773
17,1 (7).jpg,1 (7).txt,0.9791666666666666,0.8328025477707006,0.02083333333333337,0.16719745222929938,523,0.36363636363636365,0.2631578947368421,0.30534351145038163,4.21455192565918
18,1 (8).jpg,1 (8).txt,1.0,0.6388888888888888,0.0,0.36111111111111116,46,0.6923076923076923,0.6923076923076923,0.6923076923076923,1.8159611225128174
19,1 (9).jpg,1 (9).txt,0.9492753623188406,0.611540749553837,0.050724637681159424,0.38845925044616303,1028,0.7395833333333334,0.8658536585365854,0.797752808988764,6.7563769817352295
