,Image File,Word File,WER,CER,Word Accuracy,Character Accuracy,Levenshtein Distance,Precision,Recall,F1 Score,Inference Time (s)
0,1 (1).jpg,1 (1).txt,0.9834710743801653,0.9202614379084967,0.016528925619834656,0.07973856209150332,704,0.9032258064516129,0.30434782608695654,0.4552845528455284,1.7217411994934082
1,1 (10).jpg,1 (10).txt,1.0,0.9880382775119617,0.0,0.011961722488038284,1652,0.6111111111111112,0.13924050632911392,0.2268041237113402,1.466670036315918
2,1 (11).jpg,1 (11).txt,1.0,0.9896166134185304,0.0,0.010383386581469645,1239,0.7333333333333333,0.1774193548387097,0.2857142857142857,1.4353141784667969
3,1 (12).jpg,1 (12).txt,1.0,0.9759036144578314,0.0,0.02409638554216864,162,0.09090909090909091,0.019230769230769232,0.03174603174603175,1.4953093528747559
4,1 (13).jpg,1 (13).txt,1.0,0.9705882352941176,0.0,0.02941176470588236,165,0.2,0.05555555555555555,0.08695652173913045,1.388606071472168
5,1 (14).jpg,1 (14).txt,1.0,0.9764705882352941,0.0,0.02352941176470591,166,0.16666666666666666,0.037037037037037035,0.06060606060606061,1.3928301334381104
6,1 (15).jpg,1 (15).txt,1.0,0.967032967032967,0.0,0.03296703296703296,176,0.125,0.023809523809523808,0.04,1.4005937576293945
7,1 (16).jpg,1 (16).txt,0.9848484848484849,0.9601449275362319,0.015151515151515138,0.03985507246376807,265,0.3333333333333333,0.043478260869565216,0.07692307692307691,1.5826139450073242
8,1 (17).jpg,1 (17).txt,1.0,0.9835164835164835,0.0,0.016483516483516536,179,0.25,0.023809523809523808,0.04347826086956521,1.3702576160430908
9,1 (2).jpg,1 (2).txt,1.0,0.9846827133479212,0.0,0.015317286652078765,450,1.0,0.0759493670886076,0.1411764705882353,1.3879759311676025
10,1 (21).jpg,1 (21).txt,1.0,0.9982758620689656,0.0,0.0017241379310344307,579,0.3333333333333333,0.008695652173913044,0.01694915254237288,1.3079607486724854
11,1 (22).jpg,1 (22).txt,1.0,0.9928571428571429,0.0,0.0071428571428571175,4309,0.72,0.26865671641791045,0.391304347826087,1.5786268711090088
12,1 (23).jpg,1 (23).txt,0.9565217391304348,0.9333333333333333,0.04347826086956519,0.06666666666666665,140,0.5,0.140625,0.21951219512195122,1.4564645290374756
13,1 (3).jpg,1 (3).txt,1.0,0.875,0.0,0.125,21,0.21428571428571427,0.25,0.23076923076923075,1.4321448802947998
14,1 (4).jpg,1 (4).txt,1.0,0.9950248756218906,0.0,0.00497512437810943,400,0.2,0.01098901098901099,0.02083333333333334,1.3982274532318115
15,1 (5).jpg,1 (5).txt,1.0,0.9012345679012346,0.0,0.09876543209876543,219,0.5357142857142857,0.25,0.3409090909090909,1.804961919784546
16,1 (6).jpg,1 (6).txt,1.0,0.9503386004514672,0.0,0.04966139954853277,421,0.10526315789473684,0.03076923076923077,0.047619047619047616,2.3249545097351074
17,1 (7).jpg,1 (7).txt,1.0,0.964968152866242,0.0,0.035031847133757954,606,0.15,0.039473684210526314,0.0625,2.1680214405059814
18,1 (8).jpg,1 (8).txt,1.0,0.8472222222222222,0.0,0.1527777777777778,61,0.3333333333333333,0.19230769230769232,0.2439024390243902,1.7355973720550537
19,1 (9).jpg,1 (9).txt,1.0,0.9952409280190363,0.0,0.004759071980963703,1673,0.5714285714285714,0.04878048780487805,0.0898876404494382,1.4894347190856934
