,Image File,Word File,WER,CER,Word Accuracy,Character Accuracy,Levenshtein Distance,Precision,Recall,F1 Score,Inference Time (s)
0,1 (1).jpg,1 (1).txt,0.9256198347107438,0.7490196078431373,0.07438016528925617,0.25098039215686274,573,0.7654320987654321,0.6739130434782609,0.7167630057803468,4.890963554382324
1,1 (10).jpg,1 (10).txt,0.9306569343065694,0.7254784688995215,0.06934306569343063,0.2745215311004785,1213,0.7666666666666667,0.8734177215189873,0.8165680473372781,8.220433950424194
2,1 (11).jpg,1 (11).txt,1.0187793427230047,0.8554313099041534,-0.018779342723004744,0.1445686900958466,1071,0.1875,0.2903225806451613,0.2278481012658228,11.532228231430054
3,1 (12).jpg,1 (12).txt,1.0,0.9518072289156626,0.0,0.048192771084337394,158,0.2857142857142857,0.07692307692307693,0.12121212121212123,1.9863200187683105
4,1 (13).jpg,1 (13).txt,0.9696969696969697,0.7705882352941177,0.030303030303030276,0.22941176470588232,131,0.5277777777777778,0.35185185185185186,0.4222222222222222,2.7239065170288086
5,1 (14).jpg,1 (14).txt,0.9696969696969697,0.7941176470588235,0.030303030303030276,0.20588235294117652,135,0.4444444444444444,0.2962962962962963,0.3555555555555555,2.725691318511963
6,1 (15).jpg,1 (15).txt,1.0,0.967032967032967,0.0,0.03296703296703296,176,0.6666666666666666,0.09523809523809523,0.16666666666666666,1.8590126037597656
7,1 (16).jpg,1 (16).txt,0.9545454545454546,0.8442028985507246,0.045454545454545414,0.1557971014492754,233,0.5714285714285714,0.2898550724637681,0.38461538461538464,2.6963229179382324
8,1 (17).jpg,1 (17).txt,1.0,0.8021978021978022,0.0,0.19780219780219777,146,0.6153846153846154,0.38095238095238093,0.47058823529411764,2.639338731765747
9,1 (2).jpg,1 (2).txt,0.9863013698630136,0.787746170678337,0.013698630136986356,0.21225382932166303,360,0.5522388059701493,0.46835443037974683,0.5068493150684932,4.471079349517822
10,1 (21).jpg,1 (21).txt,0.9788732394366197,0.8379310344827586,0.021126760563380254,0.16206896551724137,486,0.6212121212121212,0.3565217391304348,0.4530386740331491,5.305276393890381
11,1 (22).jpg,1 (22).txt,0.9847953216374269,0.7633640552995392,0.01520467836257311,0.2366359447004608,3313,0.6,0.8955223880597015,0.718562874251497,28.227113008499146
12,1 (23).jpg,1 (23).txt,1.0,0.86,0.0,0.14,129,0.24242424242424243,0.125,0.16494845360824742,2.464604616165161
13,1 (3).jpg,1 (3).txt,1.0,0.8333333333333334,0.0,0.16666666666666663,20,0.6666666666666666,0.5,0.5714285714285715,1.8434019088745117
14,1 (4).jpg,1 (4).txt,1.0,0.8781094527363185,0.0,0.12189054726368154,353,0.38181818181818183,0.23076923076923078,0.2876712328767123,4.048054218292236
15,1 (5).jpg,1 (5).txt,1.0789473684210527,0.8395061728395061,-0.07894736842105265,0.16049382716049387,204,0.3333333333333333,0.26666666666666666,0.2962962962962963,3.371204137802124
16,1 (6).jpg,1 (6).txt,0.9516129032258065,0.7629796839729119,0.048387096774193505,0.23702031602708806,338,0.44871794871794873,0.5384615384615384,0.4895104895104895,4.02773904800415
17,1 (7).jpg,1 (7).txt,0.9791666666666666,0.7802547770700637,0.02083333333333337,0.21974522292993626,490,0.40350877192982454,0.3026315789473684,0.3458646616541353,5.240572690963745
18,1 (8).jpg,1 (8).txt,1.0,0.6527777777777778,0.0,0.3472222222222222,47,0.8,0.9230769230769231,0.8571428571428571,2.036447525024414
19,1 (9).jpg,1 (9).txt,0.9818840579710145,0.8262938726948245,0.018115942028985477,0.17370612730517554,1389,0.6989247311827957,0.7926829268292683,0.7428571428571429,6.484709978103638
